类别,文件名,置信度
一级,Image_20260804154139675.png,1.000
一级,Image_20260805095548719.png,0.999
一级,Image_20260804185640417.png,0.999
一级,Image_20260804141926627.png,0.999
二级,Image_20260804101457069.png,1.000
二级,Image_20260804094840424.png,1.000
二级,Image_20260804151958065.png,1.000
二级,Image_20260804110853636.png,0.999
三级,Image_20260806094635276.png,1.000
三级,Image_20260805184908327.png,1.000
三级,Image_20260805094029765.png,1.000
三级,Image_20260805142806256.png,1.000
