时间,全量准确率（拟合检查）,验证准确率,宏平均F1,一级·完好_精确率,一级·完好_召回率,一级·完好_F1,二级·轻微瑕疵_精确率,二级·轻微瑕疵_召回率,二级·轻微瑕疵_F1,三级·明显瑕疵_精确率,三级·明显瑕疵_召回率,三级·明显瑕疵_F1,备注
2026-08-14 09:09:03,0.9650,0.9000,0.8955,0.9362,1.0000,0.9670,0.8500,0.8500,0.8500,0.9091,0.8333,0.8696,跳过
2026-08-14 10:06:27,0.9800,0.9500,0.9474,1.0000,1.0000,1.0000,0.9722,0.8750,0.9211,0.8750,0.9722,0.9211,🏆 第2名
2026-08-14 10:38:12,0.9667,0.9250,0.9209,1.0000,1.0000,1.0000,0.9697,0.8000,0.8767,0.8140,0.9722,0.8861,跳过
2026-08-14 11:09:31,0.9367,0.9167,0.9143,0.9556,0.9773,0.9663,0.8571,0.9000,0.8780,0.9394,0.8611,0.8986,跳过
2026-08-14 11:44:02,0.9700,0.9167,0.9133,1.0000,0.9773,0.9885,0.8571,0.9000,0.8780,0.8857,0.8611,0.8732,跳过
2026-08-14 13:55:39,0.9517,0.8917,0.8880,0.9767,0.9545,0.9655,0.8857,0.7750,0.8267,0.8095,0.9444,0.8718,跳过
2026-08-14 16:54:50,0.9700,0.9167,0.9123,1.0000,1.0000,1.0000,0.9167,0.8250,0.8684,0.8250,0.9167,0.8684,跳过
2026-08-15 09:17:26,0.8917,0.9167,0.9121,0.9778,1.0000,0.9888,0.8571,0.9000,0.8780,0.9091,0.8333,0.8696,跳过
2026-08-15 09:38:47,0.8950,0.9167,0.9137,0.9773,0.9773,0.9773,0.8571,0.9000,0.8780,0.9118,0.8611,0.8857,跳过
2026-08-15 10:09:50,0.9200,0.9167,0.9123,0.9778,1.0000,0.9888,0.8750,0.8750,0.8750,0.8857,0.8611,0.8732,跳过
2026-08-15 11:32:16,0.9717,0.9250,0.9228,0.9556,0.9773,0.9663,0.9189,0.8500,0.8831,0.8947,0.9444,0.9189,跳过
2026-08-15 13:54:19,0.9683,0.9083,0.9058,1.0000,0.9545,0.9767,0.8718,0.8500,0.8608,0.8462,0.9167,0.8800,跳过
2026-08-15 14:32:14,0.9700,0.9000,0.8952,0.9773,0.9773,0.9773,0.9375,0.7500,0.8333,0.7955,0.9722,0.8750,跳过
2026-08-15 15:07:14,0.9617,0.9250,0.9232,0.9545,0.9545,0.9545,0.9429,0.8250,0.8800,0.8780,1.0000,0.9351,跳过
2026-08-17 09:11:24,0.9750,0.9250,0.9229,0.9767,0.9545,0.9655,0.9429,0.8250,0.8800,0.8571,1.0000,0.9231,跳过
2026-08-17 09:36:31,0.9667,0.9083,0.9043,1.0000,0.9773,0.9885,0.9394,0.7750,0.8493,0.7955,0.9722,0.8750,跳过
2026-08-17 10:02:28,0.9683,0.9167,0.9155,1.0000,0.9318,0.9647,0.8750,0.8750,0.8750,0.8718,0.9444,0.9067,跳过
2026-08-17 10:43:01,0.9633,0.9250,0.9217,0.9565,1.0000,0.9778,0.9189,0.8500,0.8831,0.8919,0.9167,0.9041,跳过
2026-08-17 11:08:10,0.9733,0.9417,0.9412,0.9348,0.9773,0.9556,0.9459,0.8750,0.9091,0.9459,0.9722,0.9589,跳过
2026-08-20 10:54:31,0.9700,0.9167,0.9116,0.9565,1.0000,0.9778,1.0000,0.7500,0.8571,0.8182,1.0000,0.9000,跳过
2026-08-20 11:26:02,0.9383,0.9083,0.9059,1.0000,0.9545,0.9767,0.8537,0.8750,0.8642,0.8649,0.8889,0.8767,跳过
2026-08-20 11:59:26,0.9700,0.9250,0.9230,1.0000,0.9545,0.9767,0.9189,0.8500,0.8831,0.8537,0.9722,0.9091,跳过
2026-08-20 13:55:58,0.9433,0.9250,0.9222,1.0000,0.9773,0.9885,0.8974,0.8750,0.8861,0.8684,0.9167,0.8919,跳过
2026-08-20 14:22:17,0.9367,0.9250,0.9232,1.0000,0.9545,0.9767,0.8974,0.8750,0.8861,0.8718,0.9444,0.9067,跳过
2026-08-20 14:47:23,0.9783,0.9167,0.9134,0.9556,0.9773,0.9663,0.9412,0.8000,0.8649,0.8537,0.9722,0.9091,跳过
2026-08-20 15:14:56,0.9350,0.9167,0.9137,0.9773,0.9773,0.9773,0.8571,0.9000,0.8780,0.9118,0.8611,0.8857,跳过
2026-08-20 15:42:22,0.9750,0.9167,0.9125,0.9565,1.0000,0.9778,0.9412,0.8000,0.8649,0.8500,0.9444,0.8947,跳过
2026-08-20 19:16:12,0.9567,0.9333,0.9296,1.0000,1.0000,1.0000,0.9000,0.9000,0.9000,0.8889,0.8889,0.8889,跳过
2026-08-20 19:41:12,0.9617,0.9250,0.9232,1.0000,0.9545,0.9767,0.8974,0.8750,0.8861,0.8718,0.9444,0.9067,跳过
2026-08-21 09:15:21,0.9750,0.9167,0.9120,0.9778,1.0000,0.9888,0.9688,0.7750,0.8611,0.8140,0.9722,0.8861,跳过
2026-08-21 09:41:31,0.9433,0.8917,0.8895,0.9535,0.9318,0.9425,0.8649,0.8000,0.8312,0.8500,0.9444,0.8947,跳过
2026-08-21 10:41:04,0.9733,0.9167,0.9138,0.9556,0.9773,0.9663,0.9167,0.8250,0.8684,0.8718,0.9444,0.9067,跳过
2026-08-21 14:08:39,0.9650,0.9000,0.8957,0.9556,0.9773,0.9663,0.9118,0.7750,0.8378,0.8293,0.9444,0.8831,跳过
2026-08-21 14:38:31,0.9017,0.9000,0.8960,1.0000,0.9773,0.9885,0.8684,0.8250,0.8462,0.8205,0.8889,0.8533,跳过
2026-08-21 15:19:22,0.9767,0.9000,0.8977,0.9762,0.9318,0.9535,0.8889,0.8000,0.8421,0.8333,0.9722,0.8974,跳过
2026-08-21 18:38:45,0.9800,0.9500,0.9483,1.0000,0.9773,0.9885,0.9474,0.9000,0.9231,0.8974,0.9722,0.9333,🏆 第3名
2026-08-22 09:11:15,0.9783,0.9333,0.9312,0.9773,0.9773,0.9773,0.9211,0.8750,0.8974,0.8947,0.9444,0.9189,跳过
2026-08-22 09:45:13,0.9567,0.9333,0.9299,0.9778,1.0000,0.9888,0.9706,0.8250,0.8919,0.8537,0.9722,0.9091,跳过
2026-08-22 11:09:54,0.9717,0.9167,0.9120,0.9778,1.0000,0.9888,0.9688,0.7750,0.8611,0.8140,0.9722,0.8861,跳过
2026-08-22 11:52:09,0.9500,0.9000,0.8957,1.0000,0.9773,0.9885,0.8333,0.8750,0.8537,0.8571,0.8333,0.8451,跳过
2026-08-22 13:55:57,0.9733,0.9167,0.9122,1.0000,1.0000,1.0000,0.8947,0.8500,0.8718,0.8421,0.8889,0.8649,跳过
2026-08-22 14:36:05,0.9550,0.9083,0.9034,0.9565,1.0000,0.9778,0.9394,0.7750,0.8493,0.8293,0.9444,0.8831,跳过
2026-08-22 17:15:34,0.9817,0.9333,0.9310,0.9773,0.9773,0.9773,0.9444,0.8500,0.8947,0.8750,0.9722,0.9211,跳过
2026-08-24 09:08:12,0.9750,0.9250,0.9221,1.0000,0.9773,0.9885,0.9189,0.8500,0.8831,0.8500,0.9444,0.8947,跳过
2026-08-24 09:36:41,0.9767,0.9250,0.9243,1.0000,0.9318,0.9647,0.8605,0.9250,0.8916,0.9167,0.9167,0.9167,跳过
2026-08-24 10:04:01,0.9800,0.9250,0.9210,1.0000,1.0000,1.0000,0.9429,0.8250,0.8800,0.8293,0.9444,0.8831,跳过
2026-08-24 11:10:42,0.9783,0.9167,0.9124,0.9778,1.0000,0.9888,0.9167,0.8250,0.8684,0.8462,0.9167,0.8800,跳过
2026-08-24 11:33:34,0.9617,0.9083,0.9052,0.9348,0.9773,0.9556,0.9143,0.8000,0.8533,0.8718,0.9444,0.9067,跳过
2026-08-24 13:47:48,0.9683,0.9417,0.9396,0.9565,1.0000,0.9778,0.9024,0.9250,0.9136,0.9697,0.8889,0.9275,跳过
